排名,电影名,rating,predicted_fixed_director,director_effect,actors_effect_sum_by_shares,actors_effect_sum_by_actor_means,predicted_with_actor_means,final_residual_with_actor_means
1,肖申克的救赎 The Shawshank Redemption,9.7,9.94961636692594,0.0,-0.24961636692593991,-0.21891687737942686,9.730699489546513,-0.030699489546513803
2,霸王别姬,9.6,9.748026503611765,0.0,-0.1480265036117654,-0.0965036961246944,9.651522807487071,-0.051522807487071276
3,泰坦尼克号 Titanic,9.5,9.547145716505986,-0.21988607227501533,-0.047145716505985646,-0.05285181388098141,9.494293902625005,0.005706097374995167
4,阿甘正传 Forrest Gump,9.5,9.750835907191009,0.0,-0.2508359071910089,-0.16371852102890322,9.587117386162106,-0.08711738616210596
5,千与千寻 千と千尋の神隠し,9.4,9.698556171891177,-0.07939022404076052,-0.29855617189117645,-0.29855617189117645,9.4,0.0
6,美丽人生 La vita è bella,9.5,9.42226159326546,0.0,0.07773840673453947,0.07773840673453947,9.5,0.0
7,星际穿越 Interstellar,9.4,9.468166682376408,-0.205971256229327,-0.06816668237640755,-0.10128447738762499,9.366882204988784,0.0331177950112167
8,这个杀手不太冷 Léon,9.4,9.784478388463093,0.0,-0.38447838846309246,-0.3410812675321274,9.443397120930966,-0.04339712093096537
9,盗梦空间 Inception,9.4,9.515011638226907,-0.205971256229327,-0.11501163822690685,-0.06558705767455135,9.449424580552355,-0.04942458055235477
10,楚门的世界 The Truman Show,9.4,9.62371265127765,0.0,-0.2237126512776495,-0.2278659418892468,9.395846709388403,0.0041532906115975265
11,辛德勒的名单 Schindler's List,9.5,9.182669004005113,-0.12613312082420225,0.3173309959948867,0.052214939088216505,9.23488394309333,0.2651160569066704
12,忠犬八公的故事 Hachi: A Dog's Tale,9.4,9.45030075224207,0.0,-0.050300752242069535,-0.025826691584295736,9.424474060657774,-0.024474060657773578
13,海上钢琴师 La leggenda del pianista sull'oceano,9.3,9.458162805829161,-0.12253947908116491,-0.15816280582916065,-0.14970614555129935,9.308456660277862,-0.008456660277861516
14,疯狂动物城 Zootopia,9.2,9.701970905837987,0.0,-0.5019709058379878,-0.5019709058379878,9.2,0.0
15,三傻大闹宝莱坞 3 Idiots,9.2,9.646811848142903,0.0,-0.44681184814290376,-0.4574350297762,9.189376818366704,0.010623181633295786
16,机器人总动员 WALL·E,9.3,9.424018459916772,0.0,-0.12401845991677085,-0.12401845991677085,9.3,0.0
17,放牛班的春天 Les choristes,9.3,9.418504959042576,0.0,-0.11850495904257485,-0.11850495904257485,9.3,0.0
18,无间道 無間道,9.3,9.45664079778082,0.0,-0.15664079778081863,-0.08479871249335919,9.37184208528746,-0.07184208528745906
19,控方证人 Witness for the Prosecution,9.6,8.925100344654842,0.0,0.6748996553451576,0.6748996553451576,9.6,0.0
20,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,9.207656354144214,-0.31019610254504393,-0.007656354144215172,-0.1157522376913741,9.09190411645284,0.10809588354715949
21,熔炉 도가니,9.3,9.186210067689382,0.0,0.11378993231061862,-0.1054035953028567,9.080806472386525,0.21919352761347533
22,触不可及 Intouchables,9.3,9.330881398425946,0.0,-0.030881398425945505,-0.030881398425945505,9.3,0.0
23,寻梦环游记 Coco,9.1,9.504100972065482,-0.10641306597997224,-0.404100972065482,-0.404100972065482,9.1,0.0
24,教父 The Godfather,9.3,9.52917095773649,0.3029247868100162,-0.2291709577364891,-0.1408862438441545,9.388284713892336,-0.08828471389233528
25,当幸福来敲门 The Pursuit of Happyness,9.1,9.50942228863688,0.0,-0.4094222886368808,-0.4094222886368808,9.1,0.0
26,末代皇帝 The Last Emperor,9.3,9.177946317067049,0.0,0.12205368293295216,0.06019209594861996,9.238138413015669,0.06186158698433175
27,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,9.2,9.391211031313755,0.0,-0.19121103131375605,-0.12126733389803551,9.26994369741572,-0.06994369741572015
